Comment,Designator,Footprint,LCSC Part Number
200Ω,"R6,R9,R11,R19,R15,R20,R17,R10,R14,R2,R12,R18,R7,R16,R13,R8",R_0805_2012Metric,C17540
10kΩ,"R21,R4,R5,R1,R3",R_0805_2012Metric,C17414
Emerald 0805 LED,"D2,D8,D1,D5,D11,D10,D16,D3,D9,D6,D15,D12,D14,D4,D13,D7",LED_0805_2012Metric,C2297
PIC18F27Q43-I/STX,U1,VQFN28_STX_MCH,C638193
100uF,"C1,C3",C_1206_3216Metric,C15008
40V 1A 550mV@700mA 0603 Schottky Diodes,"D18,D17",D_0603_1608Metric,C3758192
"20V 6.3A 21mΩ@4.5V,6.3A 1.3W 900mV 1 N-channel SOT-23 MOSFETs ROHS",Q1,SOT-23,C143946
LDO 65dB@(1kHz) 600mA Fixed 3.3V Positive electrode 6V SOT-25-5 Voltage Regulators,U2,SOT-23-5,C51118
100nF,C2,C_1206_3216Metric,C24497
